web-scraper-order,web-scraper-start-url,getcomments
"1618405986-40","https://www.instagram.com/p/CNoSB5ZDGfI/","8"
"1618405986-201","https://www.instagram.com/p/CNoSB5ZDGfI/","5 & 6"
"1618405986-15","https://www.instagram.com/p/CNoSB5ZDGfI/","9"
"1618405986-152","https://www.instagram.com/p/CNoSB5ZDGfI/","6 & 7"
"1618405986-214","https://www.instagram.com/p/CNoSB5ZDGfI/","5 & 7"
"1618405986-211","https://www.instagram.com/p/CNoSB5ZDGfI/","2"
"1618405986-60","https://www.instagram.com/p/CNoSB5ZDGfI/","6 and 7"
"1618405986-120","https://www.instagram.com/p/CNoSB5ZDGfI/","5 and 6 🙌"
"1618405986-112","https://www.instagram.com/p/CNoSB5ZDGfI/","6"
"1618405986-114","https://www.instagram.com/p/CNoSB5ZDGfI/","5 & 6"
"1618405986-301","https://www.instagram.com/p/CNoSB5ZDGfI/","7 and 8!"
"1618405986-259","https://www.instagram.com/p/CNoSB5ZDGfI/","4&5"
"1618405986-284","https://www.instagram.com/p/CNoSB5ZDGfI/","8"
"1618405986-231","https://www.instagram.com/p/CNoSB5ZDGfI/","5 and 6"
"1618405986-296","https://www.instagram.com/p/CNoSB5ZDGfI/","6 & 8"
"1618405986-132","https://www.instagram.com/p/CNoSB5ZDGfI/","1,8"
"1618405986-93","https://www.instagram.com/p/CNoSB5ZDGfI/","5 and 4"
"1618405986-108","https://www.instagram.com/p/CNoSB5ZDGfI/","8"
"1618405986-219","https://www.instagram.com/p/CNoSB5ZDGfI/","8"
"1618405986-143","https://www.instagram.com/p/CNoSB5ZDGfI/","5 and 6"
"1618405986-198","https://www.instagram.com/p/CNoSB5ZDGfI/","7 and 8"
"1618405986-185","https://www.instagram.com/p/CNoSB5ZDGfI/","5 and 7"
"1618405986-110","https://www.instagram.com/p/CNoSB5ZDGfI/","7,8"
"1618405986-46","https://www.instagram.com/p/CNoSB5ZDGfI/","5 & 8"
"1618405986-97","https://www.instagram.com/p/CNoSB5ZDGfI/","7 and 8"
"1618405986-291","https://www.instagram.com/p/CNoSB5ZDGfI/","8"
"1618405986-94","https://www.instagram.com/p/CNoSB5ZDGfI/","6!!!!!!"
"1618405986-129","https://www.instagram.com/p/CNoSB5ZDGfI/","6&7"
"1618405986-279","https://www.instagram.com/p/CNoSB5ZDGfI/","2 & 7"
"1618405986-130","https://www.instagram.com/p/CNoSB5ZDGfI/","8"
"1618405986-314","https://www.instagram.com/p/CNoSB5ZDGfI/","8"
"1618405986-106","https://www.instagram.com/p/CNoSB5ZDGfI/","1"
"1618405986-183","https://www.instagram.com/p/CNoSB5ZDGfI/","6 and 8"
"1618405986-191","https://www.instagram.com/p/CNoSB5ZDGfI/","2, 6"
"1618405986-142","https://www.instagram.com/p/CNoSB5ZDGfI/","8"
"1618405986-136","https://www.instagram.com/p/CNoSB5ZDGfI/","5 & 7"
"1618405986-77","https://www.instagram.com/p/CNoSB5ZDGfI/","5 and 8!"
"1618405986-135","https://www.instagram.com/p/CNoSB5ZDGfI/","1 & 7"
"1618405986-167","https://www.instagram.com/p/CNoSB5ZDGfI/","8 & 9"
"1618405986-337","https://www.instagram.com/p/CNoSB5ZDGfI/","3 and 5"
"1618405986-294","https://www.instagram.com/p/CNoSB5ZDGfI/","5 and 6"
"1618405986-324","https://www.instagram.com/p/CNoSB5ZDGfI/","6 & 8"
"1618405986-325","https://www.instagram.com/p/CNoSB5ZDGfI/","5 & 8"
"1618405986-62","https://www.instagram.com/p/CNoSB5ZDGfI/","6 & 8"
"1618405986-83","https://www.instagram.com/p/CNoSB5ZDGfI/","5 & 1"
"1618405986-96","https://www.instagram.com/p/CNoSB5ZDGfI/","OMG !!! 8!!!!"
"1618405986-226","https://www.instagram.com/p/CNoSB5ZDGfI/","5&6"
"1618405986-224","https://www.instagram.com/p/CNoSB5ZDGfI/","7 & 8"
"1618405986-24","https://www.instagram.com/p/CNoSB5ZDGfI/","6"
"1618405986-101","https://www.instagram.com/p/CNoSB5ZDGfI/","5"
"1618405986-265","https://www.instagram.com/p/CNoSB5ZDGfI/","5 and 6"
"1618405986-199","https://www.instagram.com/p/CNoSB5ZDGfI/","@safewalksnyc Any chance you are still accepting submissions? Would love to put something together"
"1618405986-286","https://www.instagram.com/p/CNoSB5ZDGfI/","5 and 8"
"1618405986-138","https://www.instagram.com/p/CNoSB5ZDGfI/","6 & 8"
